Element	English	Esperanto
Thallium	Thallium and its compounds are highly toxic	Talio kaj ĝiaj kunmetaĵoj estas tre toksikaj
Lead	Lead and its compounds are poisonous	Plumbo kaj ĝiaj kunmetaĵoj estas venenaj
Bismuth	Bismuth is considered to be non-toxic	Bismuto estas konsiderata esti ne-toksika
Polonium	Polonium is highly dangerous and radioactive	Polonio estas tre danĝera kaj radioaktiva
Astatine	Astatine is highly radioactive	Astato estas tre radioaktiva
Radon	Radon is highly radioactive and a carcinogen	Radono estas tre radioaktiva kaj kancerogenika
Francium	Francium is highly radioactive	Francio estas tre radioaktiva
Radium	Radium is highly radioactive and carcinogenic	Radiumo estas tre radioaktiva kaj kancerogenika
Actinium	Actinium is highly radioactive	Aktinio estas tre radioaktiva
Thorium	Thorium is highly radioactive	Torio estas tre radioaktiva
Protactinium	Protactinium is toxic and highly radioactive	Protaktinio estas toksika kaj tre radioaktiva
Uranium	Uranium is toxic and highly radioactive	Uranio estas toksika kaj tre radioaktiva
Neptunium	Neptunium is harmful due to its radioactivity	Neptunio estas damaĝa pro ĝia radioaktiveco
Plutonium	Plutonium is harmful due to its radioactivity	Plutonio estas damaĝa pro ĝia radioaktiveco
Americium	Americium is harmful due to its radioactivity	Americio estas damaĝa pro ĝia radioaktiveco
Curium	Curium is harmful due to its radioactivity	Kurio estas damaĝa pro ĝia radioaktiveco
Berkelium	Berkelium is harmful due to its radioactivity	Berkelio estas damaĝa pro ĝia radioaktiveco
Californium	Californium is harmful due to its radioactivity	Kalifornio estas damaĝa pro ĝia radioaktiveco
Einsteinium	Einsteinium is harmful due to its radioactivity	Ejnŝtejnio estas damaĝa pro ĝia radioaktiveco
Fermium	Fermium is harmful due to its radioactivity	Fermio estas damaĝa pro ĝia radioaktiveco
Mendelevium	Mendelevium is harmful due to its radioactivity	Mendelevio estas damaĝa pro ĝia radioaktiveco
Nobelium	Nobelium is harmful due to its radioactivity	Nobelio estas damaĝa pro ĝia radioaktiveco
Lawrencium	Lawrencium is harmful due to its radioactivity	Laŭrencio estas damaĝa pro ĝia radioaktiveco
Rutherfordium	Rutherfordium is harmful due to its radioactivity	Rutherfordio estas damaĝa pro ĝia radioaktiveco
Dubnium	Dubnium is harmful due to its radioactivity	Dubnio estas damaĝa pro ĝia radioaktiveco
Seaborgium	Seaborgium is harmful due to its radioactivity	Seaborgio estas damaĝa pro ĝia radioaktiveco
Bohrium	Bohrium is harmful due to its radioactivity	Borio estas damaĝa pro ĝia radioaktiveco
Hassium	Hassium is harmful due to its radioactivity	Hasio estas damaĝa pro ĝia radioaktiveco
Meitnerium	Meitnerium is harmful due to its radioactivity	Majtnerio estas damaĝa pro ĝia radioaktiveco
Darmstadtium	Darmstadtium is harmful due to its radioactivity	Darmstadtio estas damaĝa pro ĝia radioaktiveco
Roentgenium	Roentgenium is harmful due to its radioactivity	Roentgenio estas damaĝa pro ĝia radioaktiveco
Copernicium	Copernicium is harmful due to its radioactivity	Kopernikio estas damaĝa pro ĝia radioaktiveco
Nihonium	Nihonium is harmful due to its radioactivity	Nihonio estas damaĝa pro ĝia radioaktiveco
Flerovium	Flerovium is harmful due to its radioactivity	Flerovio estas damaĝa pro ĝia radioaktiveco
Moscovium	Moscovium is harmful due to its radioactivity	Moskovio estas damaĝa pro ĝia radioaktiveco
Livermorium	Livermorium is harmful due to its radioactivity	Livermoriumo estas damaĝa pro ĝia radioaktiveco
Tennessine	Tennessine is harmful due to its radioactivity	Tenesino estas damaĝa pro ĝia radioaktiveco
Oganesson	Oganesson is harmful due to its radioactivity	Oganesono estas damaĝa pro ĝia radioaktiveco
		
Hydrogen	Vial of glowing ultrapure hydrogen	Vialeto de brila ultrapura hidrogeno
Helium	Vial of glowing ultrapure helium	Vialeto de brila ultrapura helio
Lithium	0.5 grams lithium under argon	0,5 gramoj da litio sub argono
Beryllium	Pure beryllium bead, 2.5 grams	Pura berilia globeto, 2,5 gramoj
Boron	Pure crystalline boron, front side	Pura kristala boro, antaŭa flanko
Carbon	Ultrapure carbon as graphite	Ultrapura karbono kiel grafito
Nitrogen	Vial of glowing ultrapure nitrogen	Vialeto de brila ultrapura nitrogeno
Oxygen	Vial of glowing ultrapure oxygen	Vialeto de brila ultrapura oksigeno
Fluorine	Fluorine gas, but only as photomontage, because fluorine reacts even with glass	Fluorogaso, sed nur kiel fotomontaĵo, ĉar fluoro reagas eĉ kun vitro
Neon	Vial of glowing ultrapure neon	Vialeto de brila ultrapura neono
Sodium	Sodium metal from the Dennis s.k collection	Natria metala specimeno el la kolekto de Dennis s.k
Magnesium	Magnesium swarf in a glass jar	Magnezioŝavoj en glasa kruĉo
Aluminium	Chunk of aluminum	Bulo da aluminio
Silicon	Close up photo of a piece of purified silicon	Proksima foto de peco da purigita silicio
Phosphorus	Red phosphorus as powder	Ruĝa fosforo kiel pulvoro
Sulfur	A sample of sulfur	Specimeno de sulfuro
Chlorine	Pure liquid chlorine under a pressure of 8 bars	Pura likva kloro sub premo de 8 baroj
Argon	Vial of glowing ultrapure argon	Vialeto de brila ultrapura argono
Potassium	Potassium pearls under paraffin oil	Kaliaj globetoj sub parafina oleo
Calcium	Pure calcium in a protective argon gas atmosphere	Pura kalcio en protekta argona atmosfero
Scandium	Ultrapure crystalline scandium	Ultrapura kristala skandio
Titanium	A titanium crystal bar made by the iodide process at URALREDMET in the Soviet era	Titana kristala stango farita per la jodida procezo ĉe URALREDMET en la Soveta epoko
Vanadium	Vanadium crystals made by electrolysis	Vanadiaj kristaloj faritaj per elektrolizo
Chromium	High purity chromium crystals, produced by chemical transport reaction through decomposition of chromium iodides, as well as a high purity chromium cube for comparison	Altpurecaj kromaj kristaloj, produktitaj per kemia transportreakcio tra disrompiĝo de kroma jodidoj, kaj altpureca kroma kubo por komparo
Manganese	Small pieces of manganese	Etaj pecoj da mangano
Iron	Pure iron chips, electrolytically refined, as well as a high purity iron cube for comparison	Puraj feraj pecetoj, elektrolite rafinitaj, kaj altpureca fera kubo por komparo
Cobalt	Pure cobalt chips, electrolytically refined, as well as a high purity cobalt cube for comparison	Puraj kobaltaj pecetoj, elektrolite rafinitaj, kaj altpureca kobalta kubo por komparo
Nickel	A sheet of nickel	Nikloplato
Copper	Macro of native copper	Makroo de natura kupro
Zinc	A sheet of zinc	Zinkoplato
Gallium	Crystals of gallium	Galiaj kristaloj
Germanium	Ultrapure chunk of polycrystalline germanium	Ultrapura bulo da polikristala germanio
Arsenic	Ultrapure metallic arsenic under argon	Ultrapura metala arseno sub argono
Selenium	Ultrapure black, amorphous selenium	Ultrapura nigra, amorfa seleno
Bromine	Pure liquid bromine	Pura likva bromo
Krypton	Vial of glowing ultrapure krypton	Vialeto de brila ultrapura kripto
Rubidium	Rubidium metal sample from the Dennis s.k collection	Rubidia metala specimeno el la kolekto de Dennis s.k
Strontium	The chemical element strontium as a synthetic made crystals, sealed under argon in a glas ampoule	La kemia elemento stroncio kiel sinteze faritaj kristaloj, sigelitaj sub argono en vitraj ampolo
Yttrium	High purity yttrium	Altpureca itrio
Zirconium	Two samples of crystal bar showing different surface textures as well as a highly pure zirconium cube for comparison	Du specimenoj de kristala stango montrante malsamajn surfacteksturojn kaj altpureca zirkonia kubo por komparo
Niobium	Ultrapure niobium bead, slightly oxidized	Ultrapura niobia globeto, iomete oksidiĝinta
Molybdenum	Molybdenum with rough, oxidized surface	Molibdeno kun malglata, oksidiĝinta surfaco
Technetium	Emilio Segrè, one of the discoverer of the element	Emilio Segrè, unu el la malkovrintoj de la elemento
Ruthenium	Gas phase grown crystals of ruthenium metal	Gasfaze kreskigitaj kristaloj de rutenia metalo
Rhodium	Rhodium powder	Rodia pulvoro
Palladium	Palladium crystal	Paladia kristalo
Silver	A pure silver crystal, synthetic electrolytic made with visible dendritic structures	Pura arĝenta kristalo, sinteze elektrolite farita kun videblaj dendritmaj strukturoj
Cadmium	A crystal cadmium bar made by the flux process	Kristala kadmia stango farita per la flusa procezo
Indium	Ingot of 40 grams of indium	Ingoto de 40 gramoj da indio
Tin	Droplet of solidified molten tin	Guteto de solidigita fandita stano
Antimony	Ultrapure metallic antimony piece	Ultrapura metala peco da antimono
Tellurium	Metallic tellurium	Metala teluro
Iodine	Pure crystalline iodine	Pura kristala jodo
Xenon	Vial of glowing ultrapure xenon	Vialeto de brila ultrapura ksenono
Caesium	Cesium metal sample from the Dennis s.k collection	Cezio metala specimeno el la kolekto de Dennis s.k
Barium	Barium with a grey oxide layer under argon	Bario kun griza oksida tavolo sub argono
Lanthanum	Pure lanthanum	Pura lantano
Cerium	Ultrapure cerium under argon	Ultrapura cerio sub argono
Praseodymium	Ultrapure praseodymium pieces under argon	Ultrapuraj praseodimaj pecoj sub argono
Neodymium	Ultrapure neodymium under argon	Ultrapura neodimo sub argono
Promethium	Pitchblende, a uranium ore and the host for most of Earth's promethium	Pecblendo, urана erco kaj gastiganto de la plej granda parto de la terproma prometio
Samarium	Ultrapure sublimated samarium	Ultrapura sublimiĝinta samario
Europium	Weakly oxidized europium, hence slightly yellowish	Malforte oksidiĝinta eŭropio, tial iomete flaveca
Gadolinium	Ultrapure amorphous gadolinium	Ultrapura amorfa gadolinio
Terbium	Pure terbium	Pura terbio
Dysprosium	Ultrapure dysprosium dendrites	Ultrapuraj disprozio dendritoj
Holmium	Ultrapure holmium	Ultrapura holmio
Erbium	Ultrapure erbium with cut traces	Ultrapura erbio kun tranĉsignoj
Thulium	Ultrapure crystalline thulium	Ultrapura kristala tulio
Ytterbium	Ultrapure ytterbium	Ultrapura iterbio
Lutetium	Ultrapure piece of lutetium	Ultrapura peco da lucio
Hafnium	Electrolytic hafnium	Elektrolita hafnio
Tantalum	Tantalum pieces	Tantalaj pecoj
Tungsten	Tungsten rod with oxidized surface	Volframostango kun oksidiĝinta surfaco
Rhenium	A high purity rhenium single crystal made by the floating zone process, an ebeam remelted rhenium bar and as well as a high purity rhenium cube for comparison	Altpureca renia monokristalo farita per la flosanta-zona procezo, e-rada refandita renia stango, kaj altpureca renia kubo por komparo
Osmium	Osmium crystals produced by chemical transport reaction in chlorine gas	Osmaj kristaloj produktitaj per kemia transportreakcio en klorogaso
Iridium	Pieces of pure iridium	Pecoj da pura iridio
Platinum	A native platinum nugget	Natura platina bruto
Gold	Synthetic made gold crystals by the chemical transport reaction in chlorine gas	Sinteze faritaj oraj kristaloj per kemia transportreakcio en klorogaso
Mercury	Element mercury in liquid form	La elemento hidrargo en likva formo
Thallium	Pure thallium under argon	Pura talio sub argono
Lead	Ultrapure lead bead	Ultrapura plumba globeto
Bismuth	Bismuth crystal with fancy oxide film	Bismuta kristalo kun eleganta oksida filmo
Polonium	Pierre and Marie Curie in the laboratory	Pierre kaj Marie Curie en la laboratorio
Astatine	Emilio Segrè, one of the discoverer of the element	Emilio Segrè, unu el la malkovrintoj de la elemento
Radon	Illustration of radon	Ilustraĵo de radono
Francium	Illustration of francium	Ilustraĵo de francio
Radium	Pierre and Marie Curie in the laboratory	Pierre kaj Marie Curie en la laboratorio
Actinium	Illustration of actinium	Ilustraĵo de aktinio
Thorium	The Earth's thorium originated in the death throes of ancient stars	La torio de la Tero originis en la mortaj agonioj de antikvaj steloj
Protactinium	Illustration of protactinium	Ilustraĵo de protaktinio
Uranium	A billet of highly enriched uranium	Bileто de alte riĉigita uranio
Neptunium	Edwin McMillan, one of the discoverer of the element	Edwin McMillan, unu el la malkovrintoj de la elemento
Plutonium	A ring of weapons-grade 99.96% pure electrorefined plutonium, enough for one bomb core	Ringo de armilgrada 99,96% pura elektrorafinita plutonio, sufiĉa por unu bomba kerno
Americium	A small disc of Am-241 under the microscope	Malgranda disko de Am-241 sub la mikroskopo
Curium	Illustration of curium	Ilustraĵo de kurio
Berkelium	The 60-inch cyclotron at the Lawrence Radiation Laboratory, University of California, Berkeley	La 60-colа ciklotrono ĉe la Lawrence Radiation Laboratory, University of California, Berkeley
Californium	Illustration of californium	Ilustraĵo de kalifornio
Einsteinium	Einsteinium was first observed in the fallout from the Ivy Mike nuclear test	Ejnŝtejnio unue estis observita en la radioaktiva falfaĵo de la Ivy Mike nuklea testo
Fermium	Fermium was first observed in the fallout from the Ivy Mike nuclear test	Fermio unue estis observita en la radioaktiva falfaĵo de la Ivy Mike nuklea testo
Mendelevium	The element is named to honor Dmitri Mendeleev, the developer of the periodic table of elements	La elemento estas nomita por honori Dmitri Mendeleev, la ellaboranton de la perioda tabelo de elementoj
Nobelium	Illustration of nobelium	Ilustraĵo de nobelio
Lawrencium	Illustration of lawrencium	Ilustraĵo de laŭrencio
Rutherfordium	The element is named after Ernest Rutherford who became known as the father of nuclear physics	La elemento estas nomita laŭ Ernest Rutherford, kiu fariĝis konata kiel la patro de nuklea fiziko
Dubnium	The element is named after after the Russian town of Dubna, the location of the Joint Institute for Nuclear Research	La elemento estas nomita laŭ la rusa urbo Dubna, la loko de la Komuna Instituto por Nuklea Esploro
