Element	English	Malay
Gallium	Crystals of gallium	Kristal galium
Germanium	Ultrapure chunk of polycrystalline germanium	Ketul polikristalin germanium ultratulen
Arsenic	Ultrapure metallic arsenic under argon	Arsenik metalik ultratulen di bawah argon
Selenium	Ultrapure black, amorphous selenium	Selenium hitam, amorfus ultratulen
Bromine	Pure liquid bromine	Bromin cecair tulen
Krypton	Vial of glowing ultrapure krypton	Vial kripton ultratulen yang bercahaya
Rubidium	Rubidium metal sample from the Dennis s.k collection	Sampel logam rubidium daripada koleksi Dennis s.k
Strontium	The chemical element strontium as a synthetic made crystals, sealed under argon in a glas ampoule	Unsur kimia strontium sebagai kristal buatan, dimeterai di bawah argon dalam ampul kaca
Yttrium	High purity yttrium	Ytrium tulen tinggi
Zirconium	Two samples of crystal bar showing different surface textures as well as a highly pure zirconium cube for comparison	Dua sampel bar kristal yang menunjukkan tekstur permukaan yang berbeza serta kiub zirkonium tulen tinggi untuk perbandingan
Niobium	Ultrapure niobium bead, slightly oxidized	Manik niobium ultratulen, sedikit teroksida
Molybdenum	Molybdenum with rough, oxidized surface	Molibdenum dengan permukaan kasar dan teroksida
Technetium	Emilio Segrè, one of the discoverer of the element	Emilio Segrè, salah seorang penemu unsur ini
Ruthenium	Gas phase grown crystals of ruthenium metal	Kristal rutenium logam yang ditumbuhkan fasa gas
Rhodium	Rhodium powder	Serbuk rodium
Palladium	Palladium crystal	Kristal paladium
Silver	A pure silver crystal, synthetic electrolytic made with visible dendritic structures	Kristal perak tulen, dibuat secara elektrolitik sintetik dengan struktur dendritik yang kelihatan
Cadmium	A crystal cadmium bar made by the flux process	Bar kadmium kristal yang dibuat dengan proses fluks
Indium	Ingot of 40 grams of indium	Jongkong 40 gram indium
Tin	Droplet of solidified molten tin	Titisan timah cair yang memejal
Antimony	Ultrapure metallic antimony piece	Kepingan antimon metalik ultratulen
Tellurium	Metallic tellurium	Telurium metalik
Iodine	Pure crystalline iodine	Iodin kristal tulen
Xenon	Vial of glowing ultrapure xenon	Vial xenon ultratulen yang bercahaya
Caesium	Cesium metal sample from the Dennis s.k collection	Sampel logam sesium daripada koleksi Dennis s.k
Barium	Barium with a grey oxide layer under argon	Barium dengan lapisan oksida kelabu di bawah argon
Lanthanum	Pure lanthanum	Lantanum tulen
Cerium	Ultrapure cerium under argon	Serium ultratulen di bawah argon
Praseodymium	Ultrapure praseodymium pieces under argon	Kepingan praseodimium ultratulen di bawah argon
Neodymium	Ultrapure neodymium under argon	Neodimium ultratulen di bawah argon
Promethium	Pitchblende, a uranium ore and the host for most of Earth's promethium	Pitchblende, bijih uranium dan perumah bagi kebanyakan prometium Bumi
Samarium	Ultrapure sublimated samarium	Samarium tersublimasi ultratulen
Europium	Weakly oxidized europium, hence slightly yellowish	Europium yang lemah teroksida, oleh itu sedikit kekuningan
Gadolinium	Ultrapure amorphous gadolinium	Gadolinium amorfus ultratulen
Terbium	Pure terbium	Terbium tulen
Dysprosium	Ultrapure dysprosium dendrites	Dendrit disprosium ultratulen
Holmium	Ultrapure holmium	Holmium ultratulen
Erbium	Ultrapure erbium with cut traces	Erbium ultratulen dengan kesan pemotongan
Thulium	Ultrapure crystalline thulium	Thulium kristal ultratulen
Ytterbium	Ultrapure ytterbium	Yterbium ultratulen
Lutetium	Ultrapure piece of lutetium	Kepingan lutetium ultratulen
Hafnium	Electrolytic hafnium	Hafnium elektrolitik
Tantalum	Tantalum pieces	Kepingan tantalum
Tungsten	Tungsten rod with oxidized surface	Rod tungsten dengan permukaan teroksida
Rhenium	A high purity rhenium single crystal made by the floating zone process, an ebeam remelted rhenium bar and as well as a high purity rhenium cube for comparison	Kristal tunggal renium tulen tinggi yang dibuat dengan proses zon terapung, bar renium yang dileburkan semula dengan ebeam serta kiub renium tulen tinggi untuk perbandingan
Osmium	Osmium crystals produced by chemical transport reaction in chlorine gas	Kristal osmium yang dihasilkan oleh tindak balas pengangkutan kimia dalam gas klorin
Iridium	Pieces of pure iridium	Kepingan iridium tulen
Platinum	A native platinum nugget	Nugget platinum asli
Gold	Synthetic made gold crystals by the chemical transport reaction in chlorine gas	Kristal emas buatan sintetik melalui tindak balas pengangkutan kimia dalam gas klorin
Mercury	Element mercury in liquid form	Unsur merkuri dalam bentuk cecair
Thallium	Pure thallium under argon	Talium tulen di bawah argon
Lead	Ultrapure lead bead	Manik plumbum ultratulen
Bismuth	Bismuth crystal with fancy oxide film	Kristal bismut dengan filem oksida yang menarik
Polonium	Pierre and Marie Curie in the laboratory	Pierre dan Marie Curie di makmal
Astatine	Emilio Segrè, one of the discoverer of the element	Emilio Segrè, salah seorang penemu unsur ini
Radon	Illustration of radon	Ilustrasi radon
Francium	Illustration of francium	Ilustrasi fransium
Radium	Pierre and Marie Curie in the laboratory	Pierre dan Marie Curie di makmal
Actinium	Illustration of actinium	Ilustrasi aktinium
Thorium	The Earth's thorium originated in the death throes of ancient stars	Torium Bumi berasal daripada kepunahan bintang-bintang purba
Protactinium	Illustration of protactinium	Ilustrasi protaktinium
Uranium	A billet of highly enriched uranium	Jongkong uranium yang diperkaya tinggi
Neptunium	Edwin McMillan, one of the discoverer of the element	Edwin McMillan, salah seorang penemu unsur ini
Plutonium	A ring of weapons-grade 99.96% pure electrorefined plutonium, enough for one bomb core	Cincin plutonium gred senjata 99.96% tulen yang ditapis secara elektro, cukup untuk satu teras bom
Americium	A small disc of Am-241 under the microscope	Cakera kecil Am-241 di bawah mikroskop
Curium	Illustration of curium	Ilustrasi kurium
Berkelium	The 60-inch cyclotron at the Lawrence Radiation Laboratory, University of California, Berkeley	Siklotron 60 inci di Makmal Radiasi Lawrence, Universiti California, Berkeley
Californium	Illustration of californium	Ilustrasi kalifornium
Einsteinium	Einsteinium was first observed in the fallout from the Ivy Mike nuclear test	Einsteinium pertama kali diperhatikan dalam kejatuhan dari ujian nuklear Ivy Mike
Fermium	Fermium was first observed in the fallout from the Ivy Mike nuclear test	Fermium pertama kali diperhatikan dalam kejatuhan dari ujian nuklear Ivy Mike
Mendelevium	The element is named to honor Dmitri Mendeleev, the developer of the periodic table of elements	Unsur ini dinamakan untuk menghormati Dmitri Mendeleev, pengembang jadual berkala unsur
Nobelium	Illustration of nobelium	Ilustrasi nobelium
Lawrencium	Illustration of lawrencium	Ilustrasi lawrencium
Rutherfordium	The element is named after Ernest Rutherford who became known as the father of nuclear physics	Unsur ini dinamakan sempena Ernest Rutherford yang dikenali sebagai bapa fizik nuklear
Dubnium	The element is named after after the Russian town of Dubna, the location of the Joint Institute for Nuclear Research	Unsur ini dinamakan sempena bandar Dubna di Rusia, lokasi Institut Bersama untuk Penyelidikan Nuklear
Seaborgium	The element is named after Glenn T. Seaborg, atomic pioneer and Commissioner of the Atomic Energy Commission	Unsur ini dinamakan sempena Glenn T. Seaborg, pelopor atom dan Pesuruhjaya Suruhanjaya Tenaga Atom
Bohrium	The element is named after Niels Bohr, a Danish nuclear physicist	Unsur ini dinamakan sempena Niels Bohr, ahli fizik nuklear Denmark
Hassium	The element was discovered at the Institute for Heavy Ion Research in Darmstadt, Germany	Unsur ini ditemui di Institut Penyelidikan Ion Berat di Darmstadt, Jerman
Meitnerium	The element was discovered at the Institute for Heavy Ion Research in Darmstadt, Germany	Unsur ini ditemui di Institut Penyelidikan Ion Berat di Darmstadt, Jerman
Darmstadtium	The element was discovered at the Institute for Heavy Ion Research in Darmstadt, Germany	Unsur ini ditemui di Institut Penyelidikan Ion Berat di Darmstadt, Jerman
Roentgenium	The element was discovered at the Institute for Heavy Ion Research in Darmstadt, Germany	Unsur ini ditemui di Institut Penyelidikan Ion Berat di Darmstadt, Jerman
Copernicium	The element was discovered at the Institute for Heavy Ion Research in Darmstadt, Germany	Unsur ini ditemui di Institut Penyelidikan Ion Berat di Darmstadt, Jerman
Nihonium	The element was discovered at the Joint Institute for Nuclear Research in Dubna, Russia	Unsur ini ditemui di Institut Bersama untuk Penyelidikan Nuklear di Dubna, Rusia
Flerovium	The element was discovered at the Joint Institute for Nuclear Research in Dubna, Russia	Unsur ini ditemui di Institut Bersama untuk Penyelidikan Nuklear di Dubna, Rusia
Moscovium	The element was discovered at the Joint Institute for Nuclear Research in Dubna, Russia	Unsur ini ditemui di Institut Bersama untuk Penyelidikan Nuklear di Dubna, Rusia
Livermorium	The element was discovered at the Joint Institute for Nuclear Research in Dubna, Russia	Unsur ini ditemui di Institut Bersama untuk Penyelidikan Nuklear di Dubna, Rusia
Tennessine	The element was discovered at the Joint Institute for Nuclear Research in Dubna, Russia	Unsur ini ditemui di Institut Bersama untuk Penyelidikan Nuklear di Dubna, Rusia
Oganesson	The element was discovered at the Joint Institute for Nuclear Research in Dubna, Russia	Unsur ini ditemui di Institut Bersama untuk Penyelidikan Nuklear di Dubna, Rusia
		
Hydrogen	Isotopes of Hydrogen	Isotop hidrogen
Helium	Isotopes of Helium	Isotop helium
Lithium	Isotopes of Lithium	Isotop litium
Beryllium	Isotopes of Beryllium	Isotop berilium
Boron	Isotopes of Boron	Isotop boron
Carbon	Isotopes of Carbon	Isotop karbon
Nitrogen	Isotopes of Nitrogen	Isotop nitrogen
Oxygen	Isotopes of Oxygen	Isotop oksigen
Fluorine	Isotopes of Fluorine	Isotop fluorin
Neon	Isotopes of Neon	Isotop neon
Sodium	Isotopes of Sodium	Isotop natrium
Magnesium	Isotopes of Magnesium	Isotop magnesium
Aluminium	Isotopes of Aluminum	Isotop aluminium
Silicon	Isotopes of Silicon	Isotop silikon
Phosphorus	Isotopes of Phosphorus	Isotop fosforus
Sulfur	Isotopes of Sulfur	Isotop sulfur
Chlorine	Isotopes of Chlorine	Isotop klorin
Argon	Isotopes of Argon	Isotop argon
Potassium	Isotopes of Potassium	Isotop kalium
Calcium	Isotopes of Calcium	Isotop kalsium
Scandium	Isotopes of Scandium	Isotop skandium
Titanium	Isotopes of Titanium	Isotop titanium
Vanadium	Isotopes of Vanadium	Isotop vanadium
Chromium	Isotopes of Chromium	Isotop kromium
Manganese	Isotopes of Manganese	Isotop mangan
Iron	Isotopes of Iron	Isotop besi
Cobalt	Isotopes of Cobalt	Isotop kobalt
Nickel	Isotopes of Nickel	Isotop nikel
Copper	Isotopes of Copper	Isotop kuprum
Zinc	Isotopes of Zinc	Isotop zink
Gallium	Isotopes of Gallium	Isotop galium
Germanium	Isotopes of Germanium	Isotop germanium
Arsenic	Isotopes of Arsenic	Isotop arsenik
Selenium	Isotopes of Selenium	Isotop selenium
Bromine	Isotopes of Bromine	Isotop bromin
Krypton	Isotopes of Krypton	Isotop kripton
Rubidium	Isotopes of Rubidium	Isotop rubidium
Strontium	Isotopes of Strontium	Isotop strontium
Yttrium	Isotopes of Yttrium	Isotop itrium
Zirconium	Isotopes of Zirconium	Isotop zirkonium
Niobium	Isotopes of Niobium	Isotop niobium
Molybdenum	Isotopes of Molybdenum	Isotop molibdenum
Technetium	Isotopes of Technetium	Isotop teknetium
Ruthenium	Isotopes of Ruthenium	Isotop rutenium
Rhodium	Isotopes of Rhodium	Isotop rodium
Palladium	Isotopes of Palladium	Isotop paladium
Silver	Isotopes of Silver	Isotop perak
Cadmium	Isotopes of Cadmium	Isotop kadmium
Indium	Isotopes of Indium	Isotop indium
Tin	Isotopes of Tin	Isotop timah
Antimony	Isotopes of Antimony	Isotop antimon
Tellurium	Isotopes of Tellurium	Isotop telurium
Iodine	Isotopes of Iodine	Isotop iodin
Xenon	Isotopes of Xenon	Isotop xenon
Caesium	Isotopes of Cesium	Isotop sesium
Barium	Isotopes of Barium	Isotop barium
Lanthanum	Isotopes of Lanthanum	Isotop lantanum
Cerium	Isotopes of Cerium	Isotop serium
Praseodymium	Isotopes of Praseodymium	Isotop praseodimium
Neodymium	Isotopes of Neodymium	Isotop neodimium
Promethium	Isotopes of Promethium	Isotop prometium
Samarium	Isotopes of Samarium	Isotop samarium
Europium	Isotopes of Europium	Isotop europium
Gadolinium	Isotopes of Gadolinium	Isotop gadolinium
Terbium	Isotopes of Terbium	Isotop terbium
Dysprosium	Isotopes of Dysprosium	Isotop disprosium
Holmium	Isotopes of Holmium	Isotop holmium
Erbium	Isotopes of Erbium	Isotop erbium
Thulium	Isotopes of Thulium	Isotop tulium
Ytterbium	Isotopes of Ytterbium	Isotop iterbium
Lutetium	Isotopes of Lutetium	Isotop lutetium
Hafnium	Isotopes of Hafnium	Isotop hafnium
Tantalum	Isotopes of Tantalum	Isotop tantalum
Tungsten	Isotopes of Tungsten	Isotop tungsten
Rhenium	Isotopes of Rhenium	Isotop renium
Osmium	Isotopes of Osmium	Isotop osmium
Iridium	Isotopes of Iridium	Isotop iridium
Platinum	Isotopes of Platinum	Isotop platina
Gold	Isotopes of Gold	Isotop emas
Mercury	Isotopes of Mercury	Isotop merkuri
Thallium	Isotopes of Thallium	Isotop talium
Lead	Isotopes of Lead	Isotop plumbum
Bismuth	Isotopes of Bismuth	Isotop bismut
Polonium	Isotopes of Polonium	Isotop polonium
Astatine	Isotopes of Astatine	Isotop astatin
Radon	Isotopes of Radon	Isotop radon
Francium	Isotopes of Francium	Isotop fransium
